Name of the Nucleophile,Nucleophile ID Number,Type Of Nucleophile,Solvent,N,sN,EHF,EDFT,ECORR,EHF(HOMO),EDFT(HOMO),ECORR(HOMO),EHF(LUMO),EDFT(LUMO),ECORR(LUMO),cHF,cDFT,cCORR,hHF,hDFT,hCORR,mHF,mDFT,mCORR,wHF,wDFT,wCORR,dHF,dDFT,dCORR,HHF,HDFT,HCORR,GHF,GDFT,GCORR,NBOHF,NBODFT,NBOCORR,Mol.Mass,Surface Area,Volume,Ovality,Diameter,RG,E*DFT,E*HF,E*CORR,E*DFT(HOMO),E*HF(HOMO),E*CORR(HOMO),E*DFT(LUMO),E*HF(LUMO),E*CORR(LUMO),c*DFT,c*HF,c*CORR,h*DFT,h*HF,h*CORR,m*DFT,m*HF,m*CORR,w*DFT,w*HF,w*CORR,d*DFT,d*HF,d*CORR,H*DFT,H*HF,H*CORR,G*DFT,G*HF,G*CORR
"Cyclopenta-1,3-diene",C89,C-Nucleophile,Dichloromethane,2.300,1.060,-192.839,-194.156,-1.317,-0.315,-0.226,0.089,0.130,-0.024,-0.154,0.093,0.125,0.033,0.445,0.202,-0.243,-0.093,-0.125,-0.033,0.010,0.039,0.029,0.489,0.628,0.139,-120943.765,-121773.568,-829.803,-120963.431,-121793.457,-830.026,-0.404,-0.462,-0.058,66.101,129.682,124.291,1.077,6.820,1.345,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Methylenecycloundecane,C90,C-Nucleophile,Dichloromethane,2.330,0.900,-467.309,-470.635,-3.326,-0.345,-0.248,0.097,0.153,0.010,-0.143,0.096,0.119,0.023,0.498,0.258,-0.240,-0.096,-0.119,-0.023,0.009,0.027,0.018,0.870,0.875,0.005,-293022.494,-295120.872,-2098.378,-293052.611,-295153.529,-2100.918,-0.359,-0.411,-0.052,166.303,250.513,314.153,1.121,10.178,2.557,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Alpha-methylstyrene,C91,C-Nucleophile,Dichloromethane,2.350,1.000,-346.702,-349.056,-2.354,-0.317,-0.235,0.082,0.112,-0.037,-0.149,0.103,0.136,0.034,0.429,0.198,-0.231,-0.103,-0.136,-0.034,0.012,0.047,0.034,0.433,0.435,0.002,-217445.934,-218929.366,-1483.433,-217471.831,-218955.672,-1483.841,-0.515,-0.593,-0.078,118.176,193.564,207.797,1.141,9.682,2.166,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
2-(Tributylsilyl)furan,C92,C-Nucleophile,Dichloromethane,2.370,1.100,-987.341,-992.732,-5.391,-0.317,-0.230,0.087,0.143,-0.006,-0.149,0.087,0.118,0.031,0.460,0.224,-0.236,-0.087,-0.118,-0.031,0.008,0.031,0.023,0.713,0.681,-0.032,-619266.271,-622665.771,-3399.500,-619315.682,-622716.860,-3401.178,-0.279,-0.314,-0.035,266.494,391.223,484.178,1.312,13.248,3.445,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"1,3-Dimethoxybenzene",C93,C-Nucleophile,Dichloromethane,2.480,1.090,-458.575,-461.421,-2.846,-0.330,-0.226,0.104,0.128,-0.011,-0.139,0.101,0.119,0.018,0.458,0.215,-0.243,-0.101,-0.119,-0.018,0.011,0.033,0.022,0.303,2.177,1.874,-287643.473,-289436.005,-1792.532,-287672.837,-289463.874,-1791.037,-0.309,-0.331,-0.022,138.164,205.757,217.085,1.178,10.360,2.328,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Methylenecyclononane,C94,C-Nucleophile,Dichloromethane,2.570,0.900,-389.225,-391.988,-2.763,-0.343,-0.244,0.099,0.145,0.005,-0.140,0.099,0.120,0.021,0.488,0.249,-0.239,-0.099,-0.120,-0.021,0.010,0.029,0.019,0.652,0.620,-0.032,-244062.451,-245806.238,-1743.786,-244090.799,-245835.377,-1744.578,-0.394,-0.413,-0.019,138.250,216.839,264.177,1.089,8.621,2.182,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
2-Cyclopropylpropene,C95,C-Nucleophile,Dichloromethane,2.600,1.000,-233.055,-234.697,-1.642,-0.310,-0.223,0.087,0.126,-0.027,-0.153,0.092,0.125,0.033,0.436,0.196,-0.240,-0.092,-0.125,-0.033,0.010,0.040,0.030,1.079,1.159,0.080,-146145.465,-147181.294,-1035.828,-146169.979,-147206.154,-1036.176,-0.530,-0.605,-0.075,82.144,168.291,170.500,1.132,8.983,1.988,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"4-Methylpenta-1,3-diene",C96,C-Nucleophile,Dichloromethane,2.600,1.000,-233.035,-234.675,-1.640,-0.335,-0.237,0.098,0.162,0.013,-0.149,0.087,0.112,0.026,0.497,0.250,-0.247,-0.087,-0.112,-0.026,0.008,0.025,0.018,0.793,0.835,0.042,-146132.124,-147167.269,-1035.145,-146155.962,-147191.400,-1035.438,-0.527,-0.602,-0.075,82.144,160.555,166.187,1.099,7.841,1.743,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Methylenecyclopentane,C97,C-Nucleophile,Dichloromethane,2.820,0.900,-233.068,-234.706,-1.638,-0.346,-0.245,0.101,0.154,0.006,-0.148,0.096,0.120,0.024,0.500,0.251,-0.249,-0.096,-0.120,-0.024,0.009,0.028,0.019,0.868,0.814,-0.054,-146152.207,-147185.391,-1033.184,-146174.274,-147207.804,-1033.530,-0.401,-0.417,-0.016,82.144,158.164,163.646,1.093,7.890,1.655,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
methylenecyclodecane,C98,C-Nucleophile,Dichloromethane,2.820,0.900,-428.262,-431.306,-3.044,-0.344,-0.246,0.098,0.146,0.004,-0.142,0.099,0.121,0.022,0.490,0.250,-0.240,-0.099,-0.121,-0.022,0.010,0.029,0.019,0.764,0.741,-0.023,-268538.064,-270459.985,-1921.921,-268568.133,-270490.873,-1922.739,-0.395,-0.420,-0.025,152.277,233.189,287.776,1.106,9.789,2.386,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
5-cyano-indole,C99,C-Nucleophile,MeCN,2.830,1.100,-453.319,-456.189,-2.870,-0.305,-0.228,0.077,0.096,-0.046,-0.142,0.105,0.137,0.033,0.401,0.182,-0.219,-0.105,-0.137,-0.033,0.014,0.052,0.038,9.269,9.495,0.226,-284370.376,-286177.169,-1806.793,-284396.049,-286203.434,-1807.385,-0.303,-0.294,0.009,142.157,194.571,204.044,1.161,10.885,2.423,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
(5-methyl-furan-2-yl) pinacol boronate,C100,C-Nucleophile,MeCN,2.900,0.980,-675.999,-680.228,-4.229,-0.317,-0.230,0.087,0.120,-0.027,-0.147,0.099,0.129,0.030,0.437,0.203,-0.234,-0.099,-0.129,-0.030,0.011,0.041,0.030,1.440,1.375,-0.065,-424006.667,-426671.058,-2664.391,-424042.050,-426707.706,-2665.656,-0.351,-0.325,0.026,208.062,285.885,328.694,1.241,12.510,2.977,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"(Z)-1,2-diphenyl-1-(trimethylsiloxy)ethene (in MeCN)",C101,C-Nucleophile,MeCN,3.000,0.830,-1019.452,-1024.863,-5.411,-0.290,-0.212,0.078,0.089,-0.052,-0.141,0.101,0.132,0.032,0.379,0.160,-0.219,-0.101,-0.132,-0.032,0.013,0.054,0.041,2.015,2.299,0.284,-639490.190,-642897.937,-3407.747,-639533.365,-642942.641,-3409.276,-0.277,-0.269,0.008,268.426,353.263,432.524,1.277,13.973,3.370,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
3-methoxythiophene,C102,C-Nucleophile,MeCN,3.060,1.190,-665.257,-667.622,-2.365,-0.316,-0.221,0.095,0.121,-0.020,-0.141,0.098,0.121,0.023,0.437,0.201,-0.236,-0.098,-0.121,-0.023,0.011,0.036,0.025,2.980,2.506,-0.474,-417384.293,-418872.470,-1488.177,-417408.731,-418896.918,-1488.187,-0.457,-0.458,-0.001,114.166,160.538,162.313,1.116,8.530,1.923,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"(E)-2-methylpenta-1,3-diene",C104,C-Nucleophile,Dichloromethane,3.090,1.000,-233.057,-234.698,-1.641,-0.316,-0.228,0.088,0.128,-0.026,-0.154,0.094,0.127,0.033,0.444,0.202,-0.242,-0.094,-0.127,-0.033,0.010,0.040,0.030,0.855,0.852,-0.003,-146146.268,-147181.538,-1035.270,-146170.457,-147206.070,-1035.613,-0.523,-0.600,-0.077,82.144,168.743,170.747,1.134,8.987,1.993,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
1-(phenylethynyl)pyrrolidin-2-one,C105,C-Nucleophile,Dichloromethane,3.120,0.850,-590.241,-593.989,-3.748,-0.305,-0.220,0.085,0.101,-0.043,-0.144,0.102,0.132,0.030,0.406,0.177,-0.229,-0.102,-0.132,-0.030,0.013,0.049,0.036,5.246,5.013,-0.233,-370239.420,-372599.565,-2360.145,-370272.579,-372633.070,-2360.491,-0.431,-0.474,-0.043,185.222,264.140,282.991,1.267,13.341,3.354,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
N-(triisopropylsilyl)pyrrole,C106,C-Nucleophile,Dichloromethane,3.120,0.930,-850.377,-854.896,-4.519,-0.296,-0.214,0.082,0.145,0.023,-0.122,0.076,0.096,0.020,0.441,0.237,-0.204,-0.076,-0.096,-0.020,0.006,0.019,0.013,2.957,3.081,0.124,-533372.485,-536220.265,-2847.780,-533409.774,-536262.193,-2852.418,-0.303,-0.303,0.000,223.430,299.629,394.823,1.151,10.924,2.693,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"(2,3-dimethylbut-2-enyl)triethylsilane",C107,C-Nucleophile,Dichloromethane,3.150,1.150,-758.620,-762.614,-3.994,-0.309,-0.214,0.095,0.143,0.022,-0.121,0.083,0.096,0.013,0.452,0.236,-0.216,-0.083,-0.096,-0.013,0.008,0.020,0.012,0.244,0.315,0.071,-475795.430,-478314.997,-2519.568,-475837.693,-478358.824,-2521.131,-0.842,-0.595,0.247,198.420,301.389,387.112,1.174,11.254,2.795,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
(triisopropylsiloxy)ethene,C109,C-Nucleophile,Dichloromethane,3.440,0.940,-794.484,-798.554,-4.070,-0.340,-0.233,0.107,0.144,0.019,-0.125,0.098,0.107,0.009,0.484,0.252,-0.232,-0.098,-0.107,-0.009,0.010,0.023,0.013,2.094,2.212,0.118,-498315.224,-500881.960,-2566.736,-498355.544,-500923.945,-2568.401,-0.478,-0.490,-0.012,200.393,288.570,368.324,1.162,10.694,2.586,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
4-cyanophenyl isocyanide,C111,C-Nucleophile,Dichloromethane,3.570,0.720,-414.238,-416.810,-2.572,-0.361,-0.280,0.081,0.056,-0.086,-0.142,0.153,0.183,0.031,0.417,0.194,-0.223,-0.153,-0.183,-0.031,0.028,0.086,0.058,1.421,0.848,-0.573,-259867.975,-261485.565,-1617.590,-259893.721,-261511.896,-1618.175,-0.175,-0.174,0.001,128.131,182.365,184.092,1.165,11.164,2.460,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
2-methylfuran,C112,C-Nucleophile,Dichloromethane,3.610,1.110,-267.737,-269.419,-1.682,-0.315,-0.226,0.089,0.164,0.007,-0.157,0.076,0.110,0.034,0.479,0.233,-0.246,-0.076,-0.110,-0.034,0.006,0.026,0.020,0.748,0.725,-0.023,-167938.207,-168998.003,-1059.796,-167959.694,-169019.910,-1060.216,-0.541,-0.618,-0.077,82.101,141.677,136.133,1.107,7.719,1.556,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
n-butyl vinyl ether,C114,C-Nucleophile,Dichloromethane,3.760,0.910,-309.105,-311.150,-2.045,-0.342,-0.231,0.111,0.160,0.020,-0.140,0.091,0.106,0.015,0.502,0.251,-0.251,-0.091,-0.106,-0.015,0.008,0.022,0.014,2.369,2.351,-0.018,-193847.784,-195137.506,-1289.722,-193874.717,-195166.237,-1291.519,-0.482,-0.498,-0.016,100.159,192.723,196.095,1.181,11.550,2.535,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"3,3-dimethyl-2-(trimethylsiloxy)buten",C115,C-Nucleophile,Dichloromethane,3.780,0.790,-716.433,-719.939,-3.506,-0.337,-0.232,0.105,0.136,0.022,-0.114,0.101,0.105,0.005,0.473,0.254,-0.219,-0.101,-0.105,-0.005,0.011,0.022,0.011,0.755,1.095,0.340,-449378.910,-451589.242,-2210.332,-449415.951,-451627.619,-2211.667,-0.519,-0.521,-0.002,172.340,272.156,321.167,1.200,10.610,2.558,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
7-azaindole,C119,C-Nucleophile,MeCN,3.870,1.100,-377.560,-379.963,-2.403,-0.304,-0.227,0.077,0.103,-0.040,-0.143,0.101,0.134,0.033,0.407,0.187,-0.220,-0.101,-0.134,-0.033,0.012,0.048,0.035,2.052,2.197,0.145,-236839.508,-238352.075,-1512.567,-236862.416,-238375.380,-1512.964,-0.308,-0.304,0.004,118.136,168.247,172.676,1.122,9.066,1.899,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"6,6-dimethylfulvene",C121,C-Nucleophile,MeCN,3.930,0.880,-308.797,-310.915,-2.118,-0.310,-0.220,0.090,0.079,-0.066,-0.145,0.116,0.143,0.028,0.389,0.154,-0.235,-0.116,-0.143,-0.028,0.017,0.066,0.049,2.416,2.725,0.309,-193664.901,-195000.609,-1335.709,-193690.521,-195026.856,-1336.336,-0.532,-0.607,-0.075,106.165,183.191,193.965,1.131,8.916,2.041,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
2-methyl-1-(trimethylsiloxy)propen,C122,C-Nucleophile,Dichloromethane,3.940,1.000,-638.347,-641.295,-2.948,-0.319,-0.214,0.105,0.140,0.031,-0.109,0.090,0.092,0.002,0.459,0.245,-0.214,-0.090,-0.092,-0.002,0.009,0.017,0.008,1.498,1.656,0.158,-400418.321,-402275.506,-1857.185,-400452.778,-402310.954,-1858.176,-0.524,-0.601,-0.077,144.287,247.889,271.726,1.222,10.539,2.514,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
diazoacetone,C123,C-Nucleophile,Dichloromethane,3.960,0.910,-299.711,-301.486,-1.775,-0.342,-0.249,0.093,0.113,-0.070,-0.183,0.115,0.160,0.045,0.455,0.179,-0.276,-0.115,-0.160,-0.045,0.014,0.071,0.057,4.422,4.414,-0.008,-188019.935,-189136.724,-1116.789,-188043.526,-189160.935,-1117.409,-0.590,-0.657,-0.067,84.077,133.540,123.039,1.116,8.225,1.773,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
1H-indole-5-carboxylic acid,C124,C-Nucleophile,MeCN,3.970,1.100,-549.230,-552.547,-3.317,-0.303,-0.226,0.077,0.098,-0.048,-0.146,0.103,0.137,0.035,0.401,0.178,-0.223,-0.103,-0.137,-0.035,0.013,0.053,0.040,9.515,9.577,0.062,-344544.294,-346632.011,-2087.717,-344571.868,-346660.155,-2088.287,-0.304,-0.295,0.009,161.157,201.902,216.374,1.159,10.800,2.563,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
(2-methylallyl)triphenylsilane,C126,C-Nucleophile,Dichloromethane,4.170,0.790,-1135.059,-1141.338,-6.279,-0.327,-0.236,0.091,0.105,-0.031,-0.136,0.111,0.134,0.023,0.432,0.205,-0.227,-0.111,-0.134,-0.023,0.014,0.043,0.029,0.960,0.963,0.003,-711998.948,-715953.285,-3954.337,-712045.596,-716001.289,-3955.694,-0.523,-0.598,-0.075,314.496,395.273,500.312,1.297,12.427,3.407,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
isobutylenyl-ethylether,C128,C-Nucleophile,Dichloromethane,4.230,1.000,-309.112,-311.158,-2.046,-0.323,-0.213,0.110,0.157,0.029,-0.128,0.083,0.092,0.009,0.480,0.242,-0.238,-0.083,-0.092,-0.009,0.007,0.017,0.010,1.579,1.563,-0.016,-193852.192,-195142.658,-1290.467,-193879.695,-195170.628,-1290.933,-0.523,-0.600,-0.077,100.159,192.743,196.076,1.181,10.047,2.245,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"2,3-dihydrofuran",C130,C-Nucleophile,Dichloromethane,4.370,0.900,-229.850,-231.288,-1.438,-0.327,-0.217,0.110,0.162,0.027,-0.135,0.083,0.095,0.013,0.489,0.244,-0.245,-0.083,-0.095,-0.013,0.007,0.018,0.012,1.570,1.495,-0.075,-144167.425,-145074.324,-906.899,-144187.889,-145095.051,-907.162,-0.372,-0.428,-0.056,70.090,125.883,119.919,1.071,6.643,1.332,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
5-bromo-indole,C131,C-Nucleophile,MeCN,4.380,1.100,-2933.341,-2937.460,-4.119,-0.300,-0.222,0.078,0.108,-0.031,-0.139,0.096,0.127,0.031,0.408,0.191,-0.217,-0.096,-0.127,-0.031,0.011,0.042,0.031,5.806,5.794,-0.012,-1840614.537,-1843203.908,-2589.371,-1840640.514,-1843230.453,-2589.938,-0.316,-0.305,0.011,196.044,195.683,207.665,1.154,10.539,2.536,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
(2-methylallyl)trimethylsilane,C133,C-Nucleophile,Dichloromethane,4.410,0.960,-563.423,-566.010,-2.587,-0.334,-0.236,0.098,0.139,0.014,-0.125,0.098,0.111,0.014,0.473,0.250,-0.223,-0.098,-0.111,-0.014,0.010,0.025,0.015,0.903,0.959,0.056,-353406.813,-355037.653,-1630.840,-353438.525,-355070.169,-1631.643,-0.838,-0.596,0.242,128.287,223.193,257.418,1.141,9.495,2.203,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
5-chloro-indole,C134,C-Nucleophile,MeCN,4.420,1.100,-820.479,-823.539,-3.060,-0.300,-0.222,0.078,0.108,-0.031,-0.139,0.096,0.127,0.031,0.408,0.191,-0.217,-0.096,-0.127,-0.031,0.011,0.042,0.031,5.831,5.899,0.068,-514773.363,-516698.303,-1924.940,-514798.513,-516724.000,-1925.487,-0.318,-0.305,0.013,151.593,190.094,200.337,1.148,10.288,2.396,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"1,2-bis(trimethylsiloxy)cyclohexene",C136,C-Nucleophile,Dichloromethane,4.460,1.150,-1197.465,-1202.750,-5.285,-0.310,-0.206,0.104,0.130,0.019,-0.111,0.090,0.094,0.004,0.440,0.225,-0.215,-0.090,-0.094,-0.004,0.009,0.019,0.010,0.845,0.645,-0.200,-751169.466,-754498.692,-3329.226,-751216.311,-754547.067,-3330.755,-0.362,-0.419,-0.057,258.505,352.212,448.457,1.243,12.224,3.023,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"2,6-dimethylphenyl isocyanide",C137,C-Nucleophile,Dichloromethane,4.590,0.870,-400.577,-403.201,-2.624,-0.337,-0.258,0.079,0.097,-0.049,-0.146,0.120,0.154,0.034,0.434,0.209,-0.225,-0.120,-0.154,-0.034,0.017,0.056,0.040,3.996,4.304,0.308,-251257.397,-252910.111,-1652.715,-251284.846,-252938.398,-1653.552,-0.514,-0.593,-0.079,131.174,200.809,216.294,1.153,9.166,2.155,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
